order_id,order_date,year,quarter,month,region,country,product_category,product,customer_segment,revenue,material_cost,shipping_cost,marketing_cost,total_cost,profit,margin,orders
ORD-00033,2025-05-22,2025,Q2,5,Europe,Germany,Software,Cloud Platform,Consumer,14707.07,7297.03,1077.37,899.63,9274.03,5433.04,0.3694,9
ORD-00034,2025-01-05,2025,Q1,1,Europe,Germany,Furniture,Office Desk,SMB,10735.67,5312.11,685.19,528.71,6526.0,4209.66,0.3921,15
ORD-00035,2025-01-21,2025,Q1,1,Asia,Japan,Furniture,Office Desk,SMB,14174.02,8056.71,1023.24,830.88,9910.83,4263.2,0.3008,3
ORD-00036,2025-05-02,2025,Q2,5,Europe,France,Accessories,Wireless Mouse,Enterprise,20124.33,10328.18,1769.42,1289.31,13386.91,6737.42,0.3348,14
ORD-00037,2025-05-08,2025,Q2,5,Asia,Japan,Electronics,Monitor Ultra,Enterprise,23309.28,11706.93,1969.58,1254.25,14930.76,8378.52,0.3594,5
ORD-00038,2025-04-27,2025,Q2,4,Europe,Germany,Furniture,Storage Cabinet,SMB,5447.69,2652.71,453.25,275.3,3381.25,2066.44,0.3793,9
ORD-00039,2025-07-24,2025,Q3,7,North America,Mexico,Software,Analytics Suite,Enterprise,23790.7,12040.99,1841.82,1653.61,15536.42,8254.29,0.347,1
ORD-00040,2025-02-25,2025,Q1,2,North America,Canada,Software,Security Pro,SMB,11148.03,5921.19,797.71,638.76,7357.66,3790.38,0.34,5
ORD-00041,2025-01-23,2025,Q1,1,North America,Canada,Electronics,Smartphone X,SMB,8104.57,4659.22,710.15,475.7,5845.06,2259.51,0.2788,11
ORD-00042,2025-03-05,2025,Q1,3,North America,Canada,Software,CRM Enterprise,SMB,7601.77,3873.6,485.13,399.95,4758.69,2843.08,0.374,7
ORD-00043,2025-12-13,2025,Q4,12,North America,USA,Software,CRM Enterprise,Consumer,12589.01,6425.28,834.72,800.32,8060.31,4528.7,0.3597,10
ORD-00044,2025-12-02,2025,Q4,12,Asia,South Korea,Accessories,Webcam HD,Consumer,3598.67,1897.65,313.21,229.89,2440.74,1157.93,0.3218,3
ORD-00045,2025-12-04,2025,Q4,12,Europe,Italy,Software,Analytics Suite,Enterprise,18459.97,9275.47,1217.88,751.93,11245.27,7214.7,0.3908,4
ORD-00046,2025-09-01,2025,Q3,9,North America,USA,Accessories,Webcam HD,Consumer,8847.23,4882.21,632.75,459.96,5974.92,2872.31,0.3247,3
ORD-00047,2025-12-02,2025,Q4,12,North America,USA,Electronics,Monitor Ultra,Enterprise,5490.64,3161.49,414.76,227.9,3804.15,1686.5,0.3072,4
ORD-00048,2025-03-04,2025,Q1,3,Asia,Japan,Accessories,USB Hub,SMB,11260.15,6214.79,846.13,730.98,7791.89,3468.26,0.308,9
ORD-00049,2025-08-17,2025,Q3,8,Europe,Spain,Accessories,USB Hub,Enterprise,22820.42,11586.64,2947.53,1244.58,15778.75,7041.68,0.3086,4
ORD-00050,2025-05-21,2025,Q2,5,Asia,India,Software,Cloud Platform,SMB,6443.75,3668.44,402.2,286.91,4357.55,2086.2,0.3238,7
ORD-00051,2025-12-22,2025,Q4,12,Europe,France,Electronics,Monitor Ultra,SMB,6357.34,3347.73,393.32,413.14,4154.18,2203.15,0.3466,7
ORD-00052,2025-10-27,2025,Q4,10,North America,USA,Accessories,Webcam HD,Enterprise,25505.56,13004.3,1828.74,1702.48,16535.51,8970.05,0.3517,14
ORD-00053,2025-08-03,2025,Q3,8,North America,Mexico,Furniture,Storage Cabinet,Enterprise,8023.61,4240.99,575.02,481.95,5297.96,2725.65,0.3397,13
ORD-00054,2025-07-27,2025,Q3,7,North America,USA,Accessories,Keyboard Pro,Consumer,8244.79,4705.24,641.09,493.78,5840.11,2404.68,0.2917,2
ORD-00055,2025-11-26,2025,Q4,11,Asia,Japan,Accessories,Keyboard Pro,Enterprise,7690.08,3942.98,566.31,385.47,4894.75,2795.33,0.3635,15
ORD-00056,2025-07-14,2025,Q3,7,Asia,South Korea,Software,Analytics Suite,SMB,937.27,500.45,84.35,47.33,632.13,305.14,0.3256,11
ORD-00057,2025-02-05,2025,Q1,2,North America,USA,Electronics,Smartphone X,Enterprise,22803.87,12362.74,1531.42,1236.13,15130.3,7673.58,0.3365,2
ORD-00058,2025-10-16,2025,Q4,10,Europe,Spain,Software,Security Pro,Enterprise,16713.8,9633.39,1363.02,1058.55,12054.96,4658.84,0.2787,3
ORD-00059,2025-06-09,2025,Q2,6,Europe,Netherlands,Electronics,Tablet Air,Consumer,10321.54,5943.32,742.11,634.26,7319.7,3001.84,0.2908,2
ORD-00060,2025-10-31,2025,Q4,10,North America,Mexico,Furniture,Office Desk,Consumer,11700.97,6611.39,912.82,510.53,8034.75,3666.23,0.3133,10
ORD-00061,2025-01-22,2025,Q1,1,Asia,Thailand,Accessories,USB Hub,Enterprise,14105.58,7252.0,1205.85,912.21,9370.06,4735.52,0.3357,2
ORD-00062,2025-08-10,2025,Q3,8,Asia,South Korea,Furniture,Storage Cabinet,Enterprise,20052.06,11560.96,1365.59,1288.26,14214.82,5837.24,0.2911,9
ORD-00063,2025-09-05,2025,Q3,9,Asia,South Korea,Software,Security Pro,Enterprise,22582.08,11035.1,1952.2,1068.49,14055.79,8526.29,0.3776,8
ORD-00064,2025-10-19,2025,Q4,10,North America,Mexico,Accessories,USB Hub,Enterprise,13801.4,7073.24,1029.95,698.97,8802.16,4999.24,0.3622,5
ORD-00065,2025-06-24,2025,Q2,6,Asia,Thailand,Software,Analytics Suite,Consumer,14246.91,6960.49,1162.58,778.7,8901.77,5345.14,0.3752,13
ORD-00066,2025-05-04,2025,Q2,5,North America,Canada,Accessories,Webcam HD,Enterprise,3328.69,1671.54,268.8,163.73,2104.06,1224.63,0.3679,10
ORD-00067,2025-07-08,2025,Q3,7,Asia,Thailand,Software,CRM Enterprise,Consumer,8480.63,4369.06,624.28,417.24,5410.58,3070.06,0.362,4
ORD-00068,2025-03-03,2025,Q1,3,North America,USA,Software,Analytics Suite,Consumer,8270.03,4599.95,542.14,384.49,5526.57,2743.46,0.3317,8
ORD-00069,2025-05-22,2025,Q2,5,North America,Mexico,Software,Analytics Suite,Enterprise,8632.03,4454.89,596.2,528.63,5579.72,3052.32,0.3536,3
ORD-00070,2025-05-21,2025,Q2,5,Europe,Germany,Software,Cloud Platform,Consumer,13092.69,6927.18,1128.35,749.19,8804.72,4287.97,0.3275,8
ORD-00071,2025-09-03,2025,Q3,9,Asia,Singapore,Furniture,Office Desk,SMB,16974.51,8958.68,1437.12,883.03,11278.84,5695.67,0.3355,2
ORD-00072,2025-10-23,2025,Q4,10,North America,Mexico,Electronics,Smartphone X,Enterprise,22070.81,12688.78,1380.65,1047.17,15116.6,6954.21,0.3151,9
ORD-00073,2025-08-02,2025,Q3,8,North America,Mexico,Furniture,Storage Cabinet,SMB,16407.98,8363.72,1274.17,867.41,10505.3,5902.67,0.3597,10
ORD-00074,2025-11-14,2025,Q4,11,Europe,Netherlands,Electronics,Smartphone X,Consumer,3559.87,1943.84,230.36,160.96,2335.16,1224.7,0.344,2
ORD-00075,2025-03-22,2025,Q1,3,Europe,Spain,Accessories,Webcam HD,SMB,1167.93,594.26,79.98,76.84,751.07,416.86,0.3569,2
ORD-00076,2025-12-18,2025,Q4,12,Europe,Italy,Furniture,Storage Cabinet,Enterprise,15113.08,8233.05,1318.65,979.31,10531.02,4582.06,0.3032,2
ORD-00077,2025-01-31,2025,Q1,1,Europe,Italy,Software,CRM Enterprise,Enterprise,13133.02,6703.21,946.57,632.58,8282.36,4850.66,0.3693,9
ORD-00078,2025-09-10,2025,Q3,9,Asia,India,Electronics,Monitor Ultra,Consumer,5173.66,2612.89,324.59,356.24,3293.73,1879.93,0.3634,14
ORD-00079,2025-10-22,2025,Q4,10,North America,USA,Software,Analytics Suite,Enterprise,13180.07,7185.13,1153.02,598.96,8937.11,4242.96,0.3219,10
ORD-00080,2025-08-12,2025,Q3,8,North America,Canada,Electronics,Monitor Ultra,SMB,7705.26,3945.91,486.49,345.39,4777.79,2927.47,0.3799,7
ORD-00081,2025-12-22,2025,Q4,12,Asia,Singapore,Accessories,Wireless Mouse,SMB,2132.24,1077.29,135.35,134.71,1347.35,784.89,0.3681,14
ORD-00082,2025-09-21,2025,Q3,9,Europe,Netherlands,Accessories,Webcam HD,Enterprise,5795.9,2991.72,742.89,340.58,4075.19,1720.72,0.2969,13
ORD-00083,2025-01-27,2025,Q1,1,Europe,Italy,Furniture,Conference Table,SMB,15926.73,8416.82,969.4,938.1,10324.31,5602.42,0.3518,13
ORD-00084,2025-05-03,2025,Q2,5,North America,USA,Software,Analytics Suite,Consumer,6415.86,3223.78,546.9,278.47,4049.16,2366.71,0.3689,2
ORD-00085,2025-11-28,2025,Q4,11,Europe,Spain,Software,Security Pro,SMB,15124.2,8742.16,1018.04,855.09,10615.29,4508.91,0.2981,7
ORD-00086,2025-04-08,2025,Q2,4,North America,Mexico,Furniture,Office Desk,SMB,14044.55,7941.37,985.87,893.68,9820.92,4223.63,0.3007,5
ORD-00087,2025-01-02,2025,Q1,1,Asia,Singapore,Accessories,Keyboard Pro,SMB,9971.3,5130.36,763.38,561.41,6455.15,3516.15,0.3526,8
ORD-00088,2025-06-14,2025,Q2,6,Europe,France,Accessories,Keyboard Pro,SMB,1359.46,753.78,110.33,87.47,951.58,407.88,0.3,7
ORD-00089,2025-12-06,2025,Q4,12,North America,USA,Accessories,Wireless Mouse,Enterprise,14009.8,7551.53,1206.12,927.81,9685.46,4324.34,0.3087,8
ORD-00090,2025-02-21,2025,Q1,2,North America,Canada,Electronics,Smartphone X,SMB,15754.23,9090.12,980.62,999.54,11070.28,4683.95,0.2973,5
ORD-00091,2025-06-23,2025,Q2,6,North America,Mexico,Accessories,Wireless Mouse,SMB,15430.74,8732.78,1101.76,763.82,10598.36,4832.38,0.3132,12
ORD-00092,2025-09-07,2025,Q3,9,North America,USA,Electronics,Smartphone X,Consumer,10423.79,5302.98,696.57,445.21,6444.76,3979.03,0.3817,2
ORD-00093,2025-11-21,2025,Q4,11,North America,USA,Accessories,Keyboard Pro,Consumer,4842.26,2338.3,337.66,201.84,2877.8,1964.46,0.4057,6
ORD-00094,2025-07-11,2025,Q3,7,Asia,Japan,Furniture,Storage Cabinet,Consumer,10386.11,5172.34,677.71,605.35,6455.41,3930.7,0.3785,7
ORD-00095,2025-11-14,2025,Q4,11,North America,USA,Accessories,Keyboard Pro,Enterprise,12936.01,6537.83,875.25,521.09,7934.17,5001.85,0.3867,13
ORD-00096,2025-08-27,2025,Q3,8,Asia,Thailand,Furniture,Office Desk,SMB,17047.1,9866.27,1175.82,1173.88,12215.96,4831.14,0.2834,12
ORD-00097,2025-05-09,2025,Q2,5,Asia,Singapore,Furniture,Storage Cabinet,SMB,2455.77,1272.42,173.79,120.03,1566.24,889.52,0.3622,12
ORD-00098,2025-06-01,2025,Q2,6,Europe,Spain,Software,Analytics Suite,Consumer,13043.48,7276.06,1163.58,878.07,9317.71,3725.77,0.2856,12
ORD-00099,2025-09-12,2025,Q3,9,Asia,Japan,Software,Cloud Platform,Consumer,3256.91,1644.95,269.24,205.26,2119.45,1137.46,0.3492,11
ORD-00100,2025-03-12,2025,Q1,3,North America,USA,Electronics,Tablet Air,SMB,1180.54,609.73,75.49,79.44,764.66,415.88,0.3523,6
ORD-00101,2025-08-01,2025,Q3,8,Europe,France,Furniture,Conference Table,Consumer,7776.02,3944.41,782.67,524.27,5251.35,2524.68,0.3247,8
ORD-00102,2025-06-01,2025,Q2,6,North America,Canada,Electronics,Monitor Ultra,Enterprise,4573.76,2637.46,392.45,282.32,3312.23,1261.53,0.2758,7
ORD-00103,2025-10-13,2025,Q4,10,Asia,India,Accessories,Wireless Mouse,SMB,9936.36,5221.34,796.75,597.87,6615.96,3320.4,0.3342,10
ORD-00104,2025-07-15,2025,Q3,7,North America,Canada,Electronics,Smartphone X,SMB,1035.43,588.56,79.56,69.85,737.97,297.45,0.2873,4
ORD-00105,2025-11-28,2025,Q4,11,Europe,Spain,Software,CRM Enterprise,Enterprise,4548.18,2613.5,314.42,249.14,3177.07,1371.11,0.3015,2
ORD-00106,2025-05-01,2025,Q2,5,North America,USA,Accessories,Webcam HD,SMB,12266.46,6799.47,1084.1,644.89,8528.47,3737.99,0.3047,12
ORD-00107,2025-03-21,2025,Q1,3,Asia,India,Accessories,Webcam HD,SMB,1169.26,604.57,85.71,80.11,770.39,398.87,0.3411,14
ORD-00108,2025-07-05,2025,Q3,7,Europe,Italy,Software,Analytics Suite,SMB,5400.34,3115.03,740.54,349.54,4205.11,1195.23,0.2213,2
ORD-00109,2025-12-06,2025,Q4,12,Europe,Netherlands,Electronics,Laptop Pro,SMB,4838.1,2383.21,372.23,203.48,2958.92,1879.18,0.3884,13
ORD-00110,2025-10-11,2025,Q4,10,Europe,Netherlands,Furniture,Ergonomic Chair,SMB,14074.01,7865.46,1096.08,680.03,9641.57,4432.44,0.3149,3
ORD-00111,2025-03-08,2025,Q1,3,North America,Canada,Furniture,Office Desk,Consumer,13063.49,6442.66,924.21,831.53,8198.39,4865.1,0.3724,10
ORD-00112,2025-06-15,2025,Q2,6,Europe,France,Software,Analytics Suite,Enterprise,20258.84,10790.03,1668.72,1099.8,13558.55,6700.29,0.3307,13
ORD-00113,2025-07-05,2025,Q3,7,North America,Mexico,Electronics,Monitor Ultra,Consumer,3712.47,2010.34,303.74,249.71,2563.8,1148.67,0.3094,11
ORD-00114,2025-09-24,2025,Q3,9,Asia,South Korea,Electronics,Laptop Pro,SMB,15342.99,8018.67,970.27,941.63,9930.57,5412.42,0.3528,8
ORD-00115,2025-02-07,2025,Q1,2,Europe,Italy,Furniture,Office Desk,Enterprise,8077.92,4388.79,617.56,401.92,5408.28,2669.64,0.3305,10
ORD-00116,2025-09-29,2025,Q3,9,Asia,South Korea,Accessories,Wireless Mouse,Consumer,2159.0,1177.67,186.39,122.07,1486.13,672.87,0.3117,14
ORD-00117,2025-04-21,2025,Q2,4,Asia,South Korea,Furniture,Storage Cabinet,SMB,14997.09,7796.58,1228.09,740.5,9765.18,5231.92,0.3489,6
ORD-00118,2025-12-07,2025,Q4,12,Asia,Singapore,Furniture,Storage Cabinet,Enterprise,3280.97,1602.87,239.37,204.53,2046.77,1234.2,0.3762,6
ORD-00119,2025-03-08,2025,Q1,3,North America,USA,Software,Analytics Suite,SMB,6752.61,3690.53,557.15,445.96,4693.64,2058.97,0.3049,12
ORD-00120,2025-01-27,2025,Q1,1,Asia,Thailand,Software,Security Pro,Enterprise,15983.67,8012.2,1273.93,746.87,10033.0,5950.67,0.3723,2
ORD-00121,2025-06-29,2025,Q2,6,North America,Canada,Electronics,Tablet Air,Consumer,3779.31,1976.24,290.36,238.18,2504.79,1274.52,0.3372,10
ORD-00122,2025-11-11,2025,Q4,11,North America,Mexico,Electronics,Tablet Air,Enterprise,5608.86,3086.39,388.52,281.54,3756.44,1852.41,0.3303,1
ORD-00123,2025-04-03,2025,Q2,4,Europe,Netherlands,Accessories,Wireless Mouse,Enterprise,20239.29,11681.74,1270.07,1131.67,14083.48,6155.82,0.3042,7
ORD-00124,2025-08-03,2025,Q3,8,Asia,Singapore,Furniture,Conference Table,SMB,13155.77,7336.76,1013.36,559.76,8909.88,4245.89,0.3227,1
ORD-00125,2025-03-21,2025,Q1,3,Europe,Netherlands,Electronics,Laptop Pro,SMB,8310.17,4341.24,649.96,435.66,5426.86,2883.3,0.347,4
ORD-00126,2025-09-20,2025,Q3,9,Europe,Italy,Accessories,Wireless Mouse,SMB,12400.99,6688.02,1457.15,610.78,8755.95,3645.04,0.2939,4
ORD-00127,2025-07-22,2025,Q3,7,North America,USA,Electronics,Smartphone X,SMB,17048.64,9491.57,1413.76,829.99,11735.31,5313.32,0.3117,2
ORD-00128,2025-01-04,2025,Q1,1,Asia,South Korea,Furniture,Ergonomic Chair,SMB,9866.93,4963.18,757.4,592.42,6313.0,3553.93,0.3602,6
ORD-00129,2025-02-06,2025,Q1,2,Asia,India,Accessories,Wireless Mouse,SMB,16628.23,9415.08,1284.91,951.17,11651.16,4977.06,0.2993,12
ORD-00130,2025-11-24,2025,Q4,11,Asia,Singapore,Electronics,Monitor Ultra,Enterprise,26117.81,12985.44,2309.56,1405.21,16700.22,9417.6,0.3606,12
ORD-00131,2025-07-05,2025,Q3,7,Europe,Spain,Electronics,Smartphone X,SMB,10846.36,5774.56,1208.32,534.81,7517.7,3328.67,0.3069,6
ORD-00132,2025-04-24,2025,Q2,4,Asia,Japan,Electronics,Laptop Pro,Consumer,7894.3,4504.43,556.4,488.04,5548.87,2345.44,0.2971,14
ORD-00133,2025-11-27,2025,Q4,11,Europe,France,Electronics,Smartphone X,SMB,4032.53,2178.53,333.92,240.6,2753.05,1279.47,0.3173,3
ORD-00134,2025-11-18,2025,Q4,11,Asia,South Korea,Accessories,USB Hub,Consumer,5084.01,2663.9,376.56,299.66,3340.12,1743.89,0.343,13
ORD-00135,2025-05-21,2025,Q2,5,North America,USA,Software,Analytics Suite,SMB,8634.32,4176.94,613.57,419.73,5210.25,3424.07,0.3966,11
ORD-00136,2025-02-16,2025,Q1,2,North America,Mexico,Accessories,Webcam HD,Consumer,8537.59,4774.06,741.71,456.69,5972.47,2565.12,0.3004,13
ORD-00137,2025-10-20,2025,Q4,10,North America,USA,Software,CRM Enterprise,Consumer,2687.49,1306.62,169.59,179.99,1656.21,1031.28,0.3837,6
ORD-00138,2025-02-13,2025,Q1,2,North America,Mexico,Furniture,Office Desk,Enterprise,19368.93,11216.52,1466.65,1129.1,13812.27,5556.66,0.2869,6
ORD-00139,2025-07-10,2025,Q3,7,Asia,South Korea,Accessories,USB Hub,Consumer,9169.35,5124.96,728.22,384.9,6238.08,2931.26,0.3197,2
ORD-00140,2025-10-13,2025,Q4,10,North America,Canada,Software,Security Pro,Consumer,12847.71,7405.95,1003.16,571.87,8980.98,3866.73,0.301,2
ORD-00141,2025-10-26,2025,Q4,10,North America,USA,Software,Security Pro,Consumer,10627.96,5517.99,827.4,724.19,7069.58,3558.38,0.3348,5
ORD-00142,2025-10-14,2025,Q4,10,Asia,Singapore,Furniture,Office Desk,Consumer,10221.61,5426.13,618.89,503.58,6548.6,3673.02,0.3593,4
ORD-00143,2025-06-24,2025,Q2,6,Asia,Japan,Furniture,Ergonomic Chair,Enterprise,2914.01,1644.79,183.68,183.95,2012.42,901.58,0.3094,14
ORD-00144,2025-09-27,2025,Q3,9,Europe,Italy,Furniture,Storage Cabinet,Enterprise,5134.65,2891.5,661.63,330.01,3883.14,1251.51,0.2437,3
ORD-00145,2025-08-13,2025,Q3,8,Europe,Spain,Software,Cloud Platform,SMB,11224.36,6232.2,1452.96,527.77,8212.93,3011.43,0.2683,4
ORD-00146,2025-06-08,2025,Q2,6,Asia,Japan,Software,CRM Enterprise,SMB,13988.23,7802.81,1050.34,735.22,9588.36,4399.87,0.3145,3
ORD-00147,2025-04-13,2025,Q2,4,North America,USA,Software,Analytics Suite,Consumer,7468.56,3862.15,657.45,458.14,4977.74,2490.83,0.3335,9
ORD-00148,2025-03-05,2025,Q1,3,Asia,India,Furniture,Conference Table,SMB,16352.33,8090.07,1195.75,1118.37,10404.19,5948.14,0.3637,4
ORD-00149,2025-08-19,2025,Q3,8,Asia,India,Accessories,Wireless Mouse,SMB,9334.92,4700.86,838.61,478.39,6017.86,3317.06,0.3553,1
ORD-00150,2025-06-13,2025,Q2,6,Europe,Italy,Furniture,Ergonomic Chair,Enterprise,8387.55,4721.99,678.4,370.43,5770.82,2616.73,0.312,12
ORD-00151,2025-08-29,2025,Q3,8,Asia,Thailand,Electronics,Laptop Pro,Enterprise,7579.61,4271.08,579.57,468.55,5319.2,2260.41,0.2982,9
ORD-00152,2025-08-05,2025,Q3,8,Europe,Italy,Furniture,Conference Table,Enterprise,2146.26,1120.31,278.83,115.28,1514.43,631.83,0.2944,2
ORD-00153,2025-09-13,2025,Q3,9,North America,Mexico,Electronics,Smartphone X,Consumer,2581.86,1350.12,202.53,121.91,1674.56,907.31,0.3514,7
ORD-00154,2025-04-06,2025,Q2,4,North America,Mexico,Electronics,Tablet Air,Enterprise,25783.84,13779.09,2155.33,1424.01,17358.43,8425.4,0.3268,1
ORD-00155,2025-07-19,2025,Q3,7,Asia,India,Accessories,USB Hub,SMB,13603.31,7015.35,843.77,642.54,8501.66,5101.65,0.375,11
ORD-00156,2025-11-18,2025,Q4,11,Europe,Netherlands,Software,Cloud Platform,Enterprise,10095.01,5187.37,800.37,655.28,6643.02,3451.99,0.3419,11
ORD-00157,2025-08-26,2025,Q3,8,North America,Canada,Furniture,Ergonomic Chair,Enterprise,19588.78,11251.02,1197.06,902.02,13350.1,6238.68,0.3185,13
ORD-00158,2025-04-13,2025,Q2,4,Europe,Italy,Software,CRM Enterprise,Consumer,7364.3,3561.83,584.78,357.78,4504.39,2859.91,0.3883,14
ORD-00159,2025-01-25,2025,Q1,1,North America,Canada,Software,Analytics Suite,SMB,8202.95,4265.55,600.39,563.5,5429.44,2773.51,0.3381,6
ORD-00160,2025-04-06,2025,Q2,4,Asia,South Korea,Software,Security Pro,Enterprise,19876.82,9697.76,1551.86,1285.44,12535.05,7341.77,0.3694,9
ORD-00161,2025-05-31,2025,Q2,5,Asia,India,Electronics,Tablet Air,Consumer,4786.78,2511.1,390.27,215.4,3116.77,1670.01,0.3489,8
ORD-00162,2025-06-29,2025,Q2,6,Asia,India,Software,CRM Enterprise,SMB,11726.77,6557.0,723.78,705.2,7985.98,3740.79,0.319,7
ORD-00163,2025-07-06,2025,Q3,7,North America,Mexico,Furniture,Office Desk,Enterprise,23050.27,12627.14,1686.02,1009.3,15322.46,7727.81,0.3353,4
ORD-00164,2025-11-27,2025,Q4,11,Asia,Singapore,Accessories,Wireless Mouse,Consumer,2724.85,1430.53,193.82,145.28,1769.63,955.23,0.3506,2
ORD-00165,2025-10-21,2025,Q4,10,Europe,Netherlands,Software,CRM Enterprise,SMB,11902.36,6010.23,754.65,738.78,7503.66,4398.7,0.3696,8
ORD-00166,2025-09-23,2025,Q3,9,Asia,Thailand,Electronics,Tablet Air,SMB,12850.26,6443.85,1006.9,781.55,8232.3,4617.96,0.3594,8
ORD-00167,2025-04-13,2025,Q2,4,Europe,France,Electronics,Monitor Ultra,Enterprise,24355.52,12774.74,1525.48,1472.48,15772.7,8582.82,0.3524,14
