order_id,order_date,year,quarter,month,region,country,product_category,product,customer_segment,revenue,material_cost,shipping_cost,marketing_cost,total_cost,profit,margin,orders,month_name,shipping_cost_pct,material_cost_pct,marketing_cost_pct
ORD-00017,2025-12-20,2025,Q4,12,Europe,Italy,Accessories,USB Hub,SMB,16253.29,8535.39,1096.08,681.35,10312.82,5940.47,0.3655,1,December,0.0674,0.5251,0.0419
ORD-00018,2025-10-29,2025,Q4,10,North America,USA,Furniture,Office Desk,Enterprise,19374.65,9413.9,1201.65,793.24,11408.79,7965.86,0.4111,6,October,0.062,0.4859,0.0409
ORD-00019,2025-02-06,2025,Q1,2,North America,USA,Software,CRM Enterprise,Enterprise,14974.01,8270.67,1294.82,857.81,10423.3,4550.71,0.3039,4,February,0.0865,0.5523,0.0573
ORD-00020,2025-08-31,2025,Q3,8,Asia,Japan,Electronics,Laptop Pro,Consumer,6750.24,3526.04,499.59,417.65,4443.28,2306.96,0.3418,11,August,0.074,0.5224,0.0619
ORD-00021,2025-12-01,2025,Q4,12,North America,USA,Electronics,Monitor Ultra,Consumer,5419.89,3068.56,365.62,247.72,3681.9,1737.99,0.3207,8,December,0.0675,0.5662,0.0457
ORD-00022,2025-03-13,2025,Q1,3,Asia,Japan,Software,CRM Enterprise,Enterprise,23724.08,11566.4,1998.53,1558.17,15123.1,8600.98,0.3625,2,March,0.0842,0.4875,0.0657
ORD-00023,2025-01-26,2025,Q1,1,North America,Mexico,Electronics,Laptop Pro,Enterprise,5240.72,2770.06,348.05,272.68,3390.79,1849.93,0.353,1,January,0.0664,0.5286,0.052
ORD-00024,2025-03-26,2025,Q1,3,Asia,India,Accessories,USB Hub,SMB,5563.34,3057.94,455.72,353.28,3866.94,1696.4,0.3049,11,March,0.0819,0.5497,0.0635
ORD-00025,2025-09-07,2025,Q3,9,Europe,France,Software,Cloud Platform,Enterprise,16016.61,8556.38,2046.62,668.13,11271.13,4745.48,0.2963,10,September,0.1278,0.5342,0.0417
ORD-00026,2025-09-02,2025,Q3,9,North America,Mexico,Furniture,Office Desk,Consumer,1661.62,828.45,129.36,100.12,1057.93,603.69,0.3633,4,September,0.0779,0.4986,0.0603
ORD-00027,2025-07-26,2025,Q3,7,Europe,Netherlands,Furniture,Office Desk,Consumer,1688.76,921.62,201.44,83.58,1206.64,482.12,0.2855,5,July,0.1193,0.5457,0.0495
ORD-00028,2025-04-15,2025,Q2,4,North America,Mexico,Software,Cloud Platform,SMB,7486.67,4096.48,516.58,370.48,4983.54,2503.13,0.3343,13,April,0.069,0.5472,0.0495
ORD-00029,2025-02-07,2025,Q1,2,Europe,Spain,Electronics,Laptop Pro,Consumer,3590.74,1818.78,315.98,238.52,2373.28,1217.46,0.3391,15,February,0.088,0.5065,0.0664
ORD-00030,2025-05-06,2025,Q2,5,Asia,Singapore,Furniture,Storage Cabinet,Consumer,10701.33,5791.21,959.02,638.01,7388.24,3313.09,0.3096,1,May,0.0896,0.5412,0.0596
ORD-00031,2025-12-08,2025,Q4,12,North America,Canada,Electronics,Smartphone X,SMB,2608.46,1279.98,199.8,125.65,1605.43,1003.03,0.3845,10,December,0.0766,0.4907,0.0482
ORD-00032,2025-04-18,2025,Q2,4,North America,Canada,Furniture,Conference Table,Consumer,7583.71,4326.76,647.52,324.35,5298.63,2285.08,0.3013,7,April,0.0854,0.5705,0.0428
ORD-00033,2025-05-22,2025,Q2,5,Europe,Germany,Software,Cloud Platform,Consumer,14707.07,7297.03,1077.37,899.63,9274.03,5433.04,0.3694,9,May,0.0733,0.4962,0.0612
ORD-00034,2025-01-05,2025,Q1,1,Europe,Germany,Furniture,Office Desk,SMB,10735.67,5312.11,685.19,528.71,6526.01,4209.66,0.3921,15,January,0.0638,0.4948,0.0492
ORD-00035,2025-01-21,2025,Q1,1,Asia,Japan,Furniture,Office Desk,SMB,14174.02,8056.71,1023.24,830.88,9910.83,4263.19,0.3008,3,January,0.0722,0.5684,0.0586
ORD-00036,2025-05-02,2025,Q2,5,Europe,France,Accessories,Wireless Mouse,Enterprise,20124.33,10328.18,1769.42,1289.31,13386.91,6737.42,0.3348,14,May,0.0879,0.5132,0.0641
ORD-00037,2025-05-08,2025,Q2,5,Asia,Japan,Electronics,Monitor Ultra,Enterprise,23309.28,11706.93,1969.58,1254.25,14930.76,8378.52,0.3594,5,May,0.0845,0.5022,0.0538
ORD-00038,2025-04-27,2025,Q2,4,Europe,Germany,Furniture,Storage Cabinet,SMB,5447.69,2652.71,453.25,275.3,3381.26,2066.43,0.3793,9,April,0.0832,0.4869,0.0505
ORD-00039,2025-07-24,2025,Q3,7,North America,Mexico,Software,Analytics Suite,Enterprise,23790.7,12040.99,1841.82,1653.61,15536.42,8254.28,0.347,1,July,0.0774,0.5061,0.0695
ORD-00040,2025-02-25,2025,Q1,2,North America,Canada,Software,Security Pro,SMB,11148.03,5921.19,797.71,638.76,7357.66,3790.37,0.34,5,February,0.0716,0.5311,0.0573
ORD-00041,2025-01-23,2025,Q1,1,North America,Canada,Electronics,Smartphone X,SMB,8104.57,4659.22,710.15,475.7,5845.07,2259.5,0.2788,11,January,0.0876,0.5749,0.0587
ORD-00042,2025-03-05,2025,Q1,3,North America,Canada,Software,CRM Enterprise,SMB,7601.77,3873.6,485.13,399.95,4758.68,2843.09,0.374,7,March,0.0638,0.5096,0.0526
ORD-00043,2025-12-13,2025,Q4,12,North America,USA,Software,CRM Enterprise,Consumer,12589.01,6425.28,834.72,800.32,8060.32,4528.69,0.3597,10,December,0.0663,0.5104,0.0636
ORD-00044,2025-12-02,2025,Q4,12,Asia,South Korea,Accessories,Webcam HD,Consumer,3598.67,1897.65,313.21,229.89,2440.75,1157.92,0.3218,3,December,0.087,0.5273,0.0639
ORD-00045,2025-12-04,2025,Q4,12,Europe,Italy,Software,Analytics Suite,Enterprise,18459.97,9275.47,1217.88,751.93,11245.28,7214.69,0.3908,4,December,0.066,0.5025,0.0407
ORD-00046,2025-09-01,2025,Q3,9,North America,USA,Accessories,Webcam HD,Consumer,8847.23,4882.21,632.75,459.96,5974.92,2872.31,0.3247,3,September,0.0715,0.5518,0.052
ORD-00047,2025-12-02,2025,Q4,12,North America,USA,Electronics,Monitor Ultra,Enterprise,5490.64,3161.49,414.76,227.9,3804.15,1686.49,0.3072,4,December,0.0755,0.5758,0.0415
ORD-00048,2025-03-04,2025,Q1,3,Asia,Japan,Accessories,USB Hub,SMB,11260.15,6214.79,846.13,730.98,7791.9,3468.25,0.308,9,March,0.0751,0.5519,0.0649
ORD-00049,2025-08-17,2025,Q3,8,Europe,Spain,Accessories,USB Hub,Enterprise,22820.42,11586.64,2947.53,1244.58,15778.75,7041.67,0.3086,4,August,0.1292,0.5077,0.0545
ORD-00050,2025-05-21,2025,Q2,5,Asia,India,Software,Cloud Platform,SMB,6443.75,3668.44,402.2,286.91,4357.55,2086.2,0.3238,7,May,0.0624,0.5693,0.0445
ORD-00051,2025-12-22,2025,Q4,12,Europe,France,Electronics,Monitor Ultra,SMB,6357.34,3347.73,393.32,413.14,4154.19,2203.15,0.3466,7,December,0.0619,0.5266,0.065
ORD-00052,2025-10-27,2025,Q4,10,North America,USA,Accessories,Webcam HD,Enterprise,25505.56,13004.3,1828.74,1702.48,16535.52,8970.04,0.3517,14,October,0.0717,0.5099,0.0667
ORD-00053,2025-08-03,2025,Q3,8,North America,Mexico,Furniture,Storage Cabinet,Enterprise,8023.61,4240.99,575.02,481.95,5297.96,2725.65,0.3397,13,August,0.0717,0.5286,0.0601
ORD-00054,2025-07-27,2025,Q3,7,North America,USA,Accessories,Keyboard Pro,Consumer,8244.79,4705.24,641.09,493.78,5840.11,2404.68,0.2917,2,July,0.0778,0.5707,0.0599
ORD-00055,2025-11-26,2025,Q4,11,Asia,Japan,Accessories,Keyboard Pro,Enterprise,7690.08,3942.98,566.31,385.47,4894.76,2795.32,0.3635,15,November,0.0736,0.5127,0.0501
ORD-00056,2025-07-14,2025,Q3,7,Asia,South Korea,Software,Analytics Suite,SMB,937.27,500.45,84.35,47.33,632.13,305.14,0.3256,11,July,0.09,0.5339,0.0505
ORD-00057,2025-02-05,2025,Q1,2,North America,USA,Electronics,Smartphone X,Enterprise,22803.87,12362.74,1531.42,1236.13,15130.29,7673.58,0.3365,2,February,0.0672,0.5421,0.0542
ORD-00058,2025-10-16,2025,Q4,10,Europe,Spain,Software,Security Pro,Enterprise,16713.8,9633.39,1363.02,1058.55,12054.96,4658.84,0.2787,3,October,0.0816,0.5764,0.0633
ORD-00059,2025-06-09,2025,Q2,6,Europe,Netherlands,Electronics,Tablet Air,Consumer,10321.54,5943.32,742.11,634.26,7319.69,3001.85,0.2908,2,June,0.0719,0.5758,0.0615
ORD-00060,2025-10-31,2025,Q4,10,North America,Mexico,Furniture,Office Desk,Consumer,11700.97,6611.39,912.82,510.53,8034.74,3666.23,0.3133,10,October,0.078,0.565,0.0436
ORD-00061,2025-01-22,2025,Q1,1,Asia,Thailand,Accessories,USB Hub,Enterprise,14105.58,7252.0,1205.85,912.21,9370.06,4735.52,0.3357,2,January,0.0855,0.5141,0.0647
ORD-00062,2025-08-10,2025,Q3,8,Asia,South Korea,Furniture,Storage Cabinet,Enterprise,20052.06,11560.96,1365.59,1288.26,14214.81,5837.25,0.2911,9,August,0.0681,0.5765,0.0642
ORD-00063,2025-09-05,2025,Q3,9,Asia,South Korea,Software,Security Pro,Enterprise,22582.08,11035.1,1952.2,1068.49,14055.79,8526.29,0.3776,8,September,0.0864,0.4887,0.0473
ORD-00064,2025-10-19,2025,Q4,10,North America,Mexico,Accessories,USB Hub,Enterprise,13801.4,7073.24,1029.95,698.97,8802.16,4999.24,0.3622,5,October,0.0746,0.5125,0.0506
ORD-00065,2025-06-24,2025,Q2,6,Asia,Thailand,Software,Analytics Suite,Consumer,14246.91,6960.49,1162.58,778.7,8901.77,5345.14,0.3752,13,June,0.0816,0.4886,0.0547
ORD-00066,2025-05-04,2025,Q2,5,North America,Canada,Accessories,Webcam HD,Enterprise,3328.69,1671.54,268.8,163.73,2104.07,1224.62,0.3679,10,May,0.0808,0.5022,0.0492
ORD-00067,2025-07-08,2025,Q3,7,Asia,Thailand,Software,CRM Enterprise,Consumer,8480.63,4369.06,624.28,417.24,5410.58,3070.05,0.362,4,July,0.0736,0.5152,0.0492
ORD-00068,2025-03-03,2025,Q1,3,North America,USA,Software,Analytics Suite,Consumer,8270.03,4599.95,542.14,384.49,5526.58,2743.45,0.3317,8,March,0.0656,0.5562,0.0465
ORD-00069,2025-05-22,2025,Q2,5,North America,Mexico,Software,Analytics Suite,Enterprise,8632.03,4454.89,596.2,528.63,5579.72,3052.31,0.3536,3,May,0.0691,0.5161,0.0612
ORD-00070,2025-05-21,2025,Q2,5,Europe,Germany,Software,Cloud Platform,Consumer,13092.69,6927.18,1128.35,749.19,8804.72,4287.97,0.3275,8,May,0.0862,0.5291,0.0572
ORD-00071,2025-09-03,2025,Q3,9,Asia,Singapore,Furniture,Office Desk,SMB,16974.51,8958.68,1437.12,883.03,11278.83,5695.68,0.3355,2,September,0.0847,0.5278,0.052
ORD-00072,2025-10-23,2025,Q4,10,North America,Mexico,Electronics,Smartphone X,Enterprise,22070.81,12688.78,1380.65,1047.17,15116.6,6954.21,0.3151,9,October,0.0626,0.5749,0.0474
ORD-00073,2025-08-02,2025,Q3,8,North America,Mexico,Furniture,Storage Cabinet,SMB,16407.98,8363.72,1274.17,867.41,10505.3,5902.68,0.3597,10,August,0.0777,0.5097,0.0529
ORD-00074,2025-11-14,2025,Q4,11,Europe,Netherlands,Electronics,Smartphone X,Consumer,3559.87,1943.84,230.36,160.96,2335.16,1224.71,0.344,2,November,0.0647,0.546,0.0452
ORD-00075,2025-03-22,2025,Q1,3,Europe,Spain,Accessories,Webcam HD,SMB,1167.93,594.26,79.98,76.84,751.08,416.85,0.3569,2,March,0.0685,0.5088,0.0658
ORD-00076,2025-12-18,2025,Q4,12,Europe,Italy,Furniture,Storage Cabinet,Enterprise,15113.08,8233.05,1318.65,979.31,10531.01,4582.07,0.3032,2,December,0.0873,0.5448,0.0648
ORD-00077,2025-01-31,2025,Q1,1,Europe,Italy,Software,CRM Enterprise,Enterprise,13133.02,6703.21,946.57,632.58,8282.36,4850.66,0.3693,9,January,0.0721,0.5104,0.0482
ORD-00078,2025-09-10,2025,Q3,9,Asia,India,Electronics,Monitor Ultra,Consumer,5173.66,2612.89,324.59,356.24,3293.72,1879.94,0.3634,14,September,0.0627,0.505,0.0689
ORD-00079,2025-10-22,2025,Q4,10,North America,USA,Software,Analytics Suite,Enterprise,13180.07,7185.13,1153.02,598.96,8937.11,4242.96,0.3219,10,October,0.0875,0.5452,0.0454
ORD-00080,2025-08-12,2025,Q3,8,North America,Canada,Electronics,Monitor Ultra,SMB,7705.26,3945.91,486.49,345.39,4777.79,2927.47,0.3799,7,August,0.0631,0.5121,0.0448
ORD-00081,2025-12-22,2025,Q4,12,Asia,Singapore,Accessories,Wireless Mouse,SMB,2132.24,1077.29,135.35,134.71,1347.35,784.89,0.3681,14,December,0.0635,0.5052,0.0632
ORD-00082,2025-09-21,2025,Q3,9,Europe,Netherlands,Accessories,Webcam HD,Enterprise,5795.9,2991.72,742.89,340.58,4075.19,1720.71,0.2969,13,September,0.1282,0.5162,0.0588
ORD-00083,2025-01-27,2025,Q1,1,Europe,Italy,Furniture,Conference Table,SMB,15926.73,8416.82,969.4,938.1,10324.32,5602.41,0.3518,13,January,0.0609,0.5285,0.0589
ORD-00084,2025-05-03,2025,Q2,5,North America,USA,Software,Analytics Suite,Consumer,6415.86,3223.78,546.9,278.47,4049.15,2366.71,0.3689,2,May,0.0852,0.5025,0.0434
ORD-00085,2025-11-28,2025,Q4,11,Europe,Spain,Software,Security Pro,SMB,15124.2,8742.16,1018.04,855.09,10615.29,4508.91,0.2981,7,November,0.0673,0.578,0.0565
ORD-00086,2025-04-08,2025,Q2,4,North America,Mexico,Furniture,Office Desk,SMB,14044.55,7941.37,985.87,893.68,9820.92,4223.63,0.3007,5,April,0.0702,0.5654,0.0636
ORD-00087,2025-01-02,2025,Q1,1,Asia,Singapore,Accessories,Keyboard Pro,SMB,9971.3,5130.36,763.38,561.41,6455.15,3516.15,0.3526,8,January,0.0766,0.5145,0.0563
ORD-00088,2025-06-14,2025,Q2,6,Europe,France,Accessories,Keyboard Pro,SMB,1359.46,753.78,110.33,87.47,951.58,407.88,0.3,7,June,0.0812,0.5545,0.0643
ORD-00089,2025-12-06,2025,Q4,12,North America,USA,Accessories,Wireless Mouse,Enterprise,14009.8,7551.53,1206.12,927.81,9685.46,4324.34,0.3087,8,December,0.0861,0.539,0.0662
ORD-00090,2025-02-21,2025,Q1,2,North America,Canada,Electronics,Smartphone X,SMB,15754.23,9090.12,980.62,999.54,11070.28,4683.95,0.2973,5,February,0.0622,0.577,0.0634
ORD-00091,2025-06-23,2025,Q2,6,North America,Mexico,Accessories,Wireless Mouse,SMB,15430.74,8732.78,1101.76,763.82,10598.36,4832.38,0.3132,12,June,0.0714,0.5659,0.0495
ORD-00092,2025-09-07,2025,Q3,9,North America,USA,Electronics,Smartphone X,Consumer,10423.79,5302.98,696.57,445.21,6444.76,3979.03,0.3817,2,September,0.0668,0.5087,0.0427
ORD-00093,2025-11-21,2025,Q4,11,North America,USA,Accessories,Keyboard Pro,Consumer,4842.26,2338.3,337.66,201.84,2877.8,1964.46,0.4057,6,November,0.0697,0.4829,0.0417
ORD-00094,2025-07-11,2025,Q3,7,Asia,Japan,Furniture,Storage Cabinet,Consumer,10386.11,5172.34,677.71,605.35,6455.4,3930.71,0.3785,7,July,0.0653,0.498,0.0583
ORD-00095,2025-11-14,2025,Q4,11,North America,USA,Accessories,Keyboard Pro,Enterprise,12936.01,6537.83,875.25,521.09,7934.17,5001.84,0.3867,13,November,0.0677,0.5054,0.0403
ORD-00096,2025-08-27,2025,Q3,8,Asia,Thailand,Furniture,Office Desk,SMB,17047.1,9866.27,1175.82,1173.88,12215.97,4831.13,0.2834,12,August,0.069,0.5788,0.0689
ORD-00097,2025-05-09,2025,Q2,5,Asia,Singapore,Furniture,Storage Cabinet,SMB,2455.77,1272.42,173.79,120.03,1566.24,889.53,0.3622,12,May,0.0708,0.5181,0.0489
ORD-00098,2025-06-01,2025,Q2,6,Europe,Spain,Software,Analytics Suite,Consumer,13043.48,7276.06,1163.58,878.07,9317.71,3725.77,0.2856,12,June,0.0892,0.5578,0.0673
ORD-00099,2025-09-12,2025,Q3,9,Asia,Japan,Software,Cloud Platform,Consumer,3256.91,1644.95,269.24,205.26,2119.45,1137.46,0.3492,11,September,0.0827,0.5051,0.063
ORD-00100,2025-03-12,2025,Q1,3,North America,USA,Electronics,Tablet Air,SMB,1180.54,609.73,75.49,79.44,764.66,415.88,0.3523,6,March,0.0639,0.5165,0.0673
ORD-00101,2025-08-01,2025,Q3,8,Europe,France,Furniture,Conference Table,Consumer,7776.02,3944.41,782.67,524.27,5251.35,2524.67,0.3247,8,August,0.1007,0.5073,0.0674
ORD-00102,2025-06-01,2025,Q2,6,North America,Canada,Electronics,Monitor Ultra,Enterprise,4573.76,2637.46,392.45,282.32,3312.23,1261.53,0.2758,7,June,0.0858,0.5767,0.0617
ORD-00103,2025-10-13,2025,Q4,10,Asia,India,Accessories,Wireless Mouse,SMB,9936.36,5221.34,796.75,597.87,6615.96,3320.4,0.3342,10,October,0.0802,0.5255,0.0602
ORD-00104,2025-07-15,2025,Q3,7,North America,Canada,Electronics,Smartphone X,SMB,1035.43,588.56,79.56,69.85,737.97,297.46,0.2873,4,July,0.0768,0.5684,0.0675
ORD-00105,2025-11-28,2025,Q4,11,Europe,Spain,Software,CRM Enterprise,Enterprise,4548.18,2613.5,314.42,249.14,3177.06,1371.12,0.3015,2,November,0.0691,0.5746,0.0548
ORD-00106,2025-05-01,2025,Q2,5,North America,USA,Accessories,Webcam HD,SMB,12266.46,6799.47,1084.1,644.89,8528.46,3738.0,0.3047,12,May,0.0884,0.5543,0.0526
ORD-00107,2025-03-21,2025,Q1,3,Asia,India,Accessories,Webcam HD,SMB,1169.26,604.57,85.71,80.11,770.39,398.87,0.3411,14,March,0.0733,0.5171,0.0685
ORD-00108,2025-07-05,2025,Q3,7,Europe,Italy,Software,Analytics Suite,SMB,5400.34,3115.03,740.54,349.54,4205.11,1195.23,0.2213,2,July,0.1371,0.5768,0.0647
ORD-00109,2025-12-06,2025,Q4,12,Europe,Netherlands,Electronics,Laptop Pro,SMB,4838.1,2383.21,372.23,203.48,2958.92,1879.18,0.3884,13,December,0.0769,0.4926,0.0421
ORD-00110,2025-10-11,2025,Q4,10,Europe,Netherlands,Furniture,Ergonomic Chair,SMB,14074.01,7865.46,1096.08,680.03,9641.57,4432.44,0.3149,3,October,0.0779,0.5589,0.0483
ORD-00111,2025-03-08,2025,Q1,3,North America,Canada,Furniture,Office Desk,Consumer,13063.49,6442.66,924.21,831.53,8198.4,4865.09,0.3724,10,March,0.0707,0.4932,0.0637
ORD-00112,2025-06-15,2025,Q2,6,Europe,France,Software,Analytics Suite,Enterprise,20258.84,10790.03,1668.72,1099.8,13558.55,6700.29,0.3307,13,June,0.0824,0.5326,0.0543
ORD-00113,2025-07-05,2025,Q3,7,North America,Mexico,Electronics,Monitor Ultra,Consumer,3712.47,2010.34,303.74,249.71,2563.79,1148.68,0.3094,11,July,0.0818,0.5415,0.0673
ORD-00114,2025-09-24,2025,Q3,9,Asia,South Korea,Electronics,Laptop Pro,SMB,15342.99,8018.67,970.27,941.63,9930.57,5412.42,0.3528,8,September,0.0632,0.5226,0.0614
ORD-00115,2025-02-07,2025,Q1,2,Europe,Italy,Furniture,Office Desk,Enterprise,8077.92,4388.79,617.56,401.92,5408.27,2669.65,0.3305,10,February,0.0765,0.5433,0.0498
ORD-00116,2025-09-29,2025,Q3,9,Asia,South Korea,Accessories,Wireless Mouse,Consumer,2159.0,1177.67,186.39,122.07,1486.13,672.87,0.3117,14,September,0.0863,0.5455,0.0565
ORD-00117,2025-04-21,2025,Q2,4,Asia,South Korea,Furniture,Storage Cabinet,SMB,14997.09,7796.58,1228.09,740.5,9765.17,5231.92,0.3489,6,April,0.0819,0.5199,0.0494
ORD-00118,2025-12-07,2025,Q4,12,Asia,Singapore,Furniture,Storage Cabinet,Enterprise,3280.97,1602.87,239.37,204.53,2046.77,1234.2,0.3762,6,December,0.073,0.4885,0.0623
ORD-00119,2025-03-08,2025,Q1,3,North America,USA,Software,Analytics Suite,SMB,6752.61,3690.53,557.15,445.96,4693.64,2058.97,0.3049,12,March,0.0825,0.5465,0.066
ORD-00120,2025-01-27,2025,Q1,1,Asia,Thailand,Software,Security Pro,Enterprise,15983.67,8012.2,1273.93,746.87,10033.0,5950.67,0.3723,2,January,0.0797,0.5013,0.0467
ORD-00121,2025-06-29,2025,Q2,6,North America,Canada,Electronics,Tablet Air,Consumer,3779.31,1976.24,290.36,238.18,2504.78,1274.53,0.3372,10,June,0.0768,0.5229,0.063
ORD-00122,2025-11-11,2025,Q4,11,North America,Mexico,Electronics,Tablet Air,Enterprise,5608.86,3086.39,388.52,281.54,3756.45,1852.41,0.3303,1,November,0.0693,0.5503,0.0502
ORD-00123,2025-04-03,2025,Q2,4,Europe,Netherlands,Accessories,Wireless Mouse,Enterprise,20239.29,11681.74,1270.07,1131.67,14083.48,6155.81,0.3042,7,April,0.0628,0.5772,0.0559
ORD-00124,2025-08-03,2025,Q3,8,Asia,Singapore,Furniture,Conference Table,SMB,13155.77,7336.76,1013.36,559.76,8909.88,4245.89,0.3227,1,August,0.077,0.5577,0.0425
ORD-00125,2025-03-21,2025,Q1,3,Europe,Netherlands,Electronics,Laptop Pro,SMB,8310.17,4341.24,649.96,435.66,5426.86,2883.31,0.347,4,March,0.0782,0.5224,0.0524
ORD-00126,2025-09-20,2025,Q3,9,Europe,Italy,Accessories,Wireless Mouse,SMB,12400.99,6688.02,1457.15,610.78,8755.95,3645.04,0.2939,4,September,0.1175,0.5393,0.0493
ORD-00127,2025-07-22,2025,Q3,7,North America,USA,Electronics,Smartphone X,SMB,17048.64,9491.57,1413.76,829.99,11735.32,5313.32,0.3117,2,July,0.0829,0.5567,0.0487
ORD-00128,2025-01-04,2025,Q1,1,Asia,South Korea,Furniture,Ergonomic Chair,SMB,9866.93,4963.18,757.4,592.42,6313.0,3553.93,0.3602,6,January,0.0768,0.503,0.06
ORD-00129,2025-02-06,2025,Q1,2,Asia,India,Accessories,Wireless Mouse,SMB,16628.23,9415.08,1284.91,951.17,11651.16,4977.07,0.2993,12,February,0.0773,0.5662,0.0572
ORD-00130,2025-11-24,2025,Q4,11,Asia,Singapore,Electronics,Monitor Ultra,Enterprise,26117.81,12985.44,2309.56,1405.21,16700.21,9417.6,0.3606,12,November,0.0884,0.4972,0.0538
ORD-00131,2025-07-05,2025,Q3,7,Europe,Spain,Electronics,Smartphone X,SMB,10846.36,5774.56,1208.32,534.81,7517.69,3328.67,0.3069,6,July,0.1114,0.5324,0.0493
ORD-00132,2025-04-24,2025,Q2,4,Asia,Japan,Electronics,Laptop Pro,Consumer,7894.3,4504.43,556.4,488.04,5548.87,2345.43,0.2971,14,April,0.0705,0.5706,0.0618
ORD-00133,2025-11-27,2025,Q4,11,Europe,France,Electronics,Smartphone X,SMB,4032.53,2178.53,333.92,240.6,2753.05,1279.48,0.3173,3,November,0.0828,0.5402,0.0597
ORD-00134,2025-11-18,2025,Q4,11,Asia,South Korea,Accessories,USB Hub,Consumer,5084.01,2663.9,376.56,299.66,3340.12,1743.89,0.343,13,November,0.0741,0.524,0.0589
ORD-00135,2025-05-21,2025,Q2,5,North America,USA,Software,Analytics Suite,SMB,8634.32,4176.94,613.57,419.73,5210.24,3424.08,0.3966,11,May,0.0711,0.4838,0.0486
ORD-00136,2025-02-16,2025,Q1,2,North America,Mexico,Accessories,Webcam HD,Consumer,8537.59,4774.06,741.71,456.69,5972.46,2565.13,0.3005,13,February,0.0869,0.5592,0.0535
ORD-00137,2025-10-20,2025,Q4,10,North America,USA,Software,CRM Enterprise,Consumer,2687.49,1306.62,169.59,179.99,1656.2,1031.29,0.3837,6,October,0.0631,0.4862,0.067
ORD-00138,2025-02-13,2025,Q1,2,North America,Mexico,Furniture,Office Desk,Enterprise,19368.93,11216.52,1466.65,1129.1,13812.27,5556.66,0.2869,6,February,0.0757,0.5791,0.0583
